t,mean,lwr,upr,mean_baseline,lwr_baseline,upr_baseline,mean_smooth,lwr_smooth,upr_smooth,mean_baseline_smooth,lwr_baseline_smooth,upr_baseline_smooth,test
0.541666666666667,0.025,0,0,0.75,0,2,0.022464843069246093,0,-3.0864868123263445e-4,0.752039739693552,0,2.0875272906603257,pcr
0.5,0.016,0,0,0.723,0,2,0.02076099482292669,0,-0.019659265329651544,0.7520111450240597,0,2.078271730831549,pcr
0.4583333333333335,0.014,0,0,0.706,0,2,0.019138771297431172,0,-0.03609184726502951,0.7519843959184319,0,2.0685778157453747,pcr
0.41666666666666696,0.021,0,0,0.738,0,2,0.01760936669621231,0,-0.04852435302537636,0.7519583768638437,0,2.058443178420563,pcr
0.375,0.023,0,0,0.803,0,2.0499999999999545,0.016183975222722906,0,-0.05587474114870175,0.7519319723474698,0,2.0478654518758748,pcr
0.3333333333333335,0.021,0,0,0.763,0,2,0.014861054347536443,0,-0.05833853413442007,0.7519018761116492,0,2.0368565590357655,pcr
0.29166666666666696,0.015,0,0,0.776,0,2,0.013631928911115577,0,-0.05677506126846271,0.7518666948968276,0,2.0254287890699536,pcr
0.25,0.007,0,0,0.781,0,2,0.01249709417174691,0,-0.051097991268614334,0.7518281826873413,0,2.013580324365098,pcr
0.20833333333333348,0.013,0,0,0.751,0,2,0.011457045387717078,0,-0.0412209928526598,0.7517880934675255,0,2.0013093473078554,pcr
0.16666666666666696,0.006,0,0,0.737,0,2,0.01051227781731268,0,-0.027057734738383812,0.7517481812217172,0,1.9886140402848842,pcr
0.125,0.013,0,0,0.774,0,2,0.009666492691520144,0,-0.008284395543928133,0.7517101999342514,0,1.9754925856828414,pcr
0.08333333333333348,0.005,0,0,0.702,0,2,0.008920419030448823,0,0.015119710871325992,0.7516759035894646,0,1.961943165888386,pcr
0.04166666666666696,0.008,0,0,0.754,0,2,0.00827009377606966,0,0.0427862129277357,0.7516470461716926,0,1.9479639632881753,pcr
-0,0.01,0,0,0.747,0,2,0.007711553870353617,0,0.07434673904565829,0.7516253816652712,0,1.9335531602688667,pcr
3,0.467,0,2,0.764,0,2,0.46437908805901607,0,2.2815902677923776,0.7668586188582662,0,1.9774421574155272,rapid
2.9583333333333335,0.435,0,2,0.748,0,2,0.4561772608480567,0,2.2049920500452918,0.7660126884030969,0,1.9811851608855802,rapid
2.9166666666666665,0.429,0,2,0.774,0,2,0.4479416139462198,0,2.130761240836729,0.7651790459615824,0,1.984821553664575,rapid
2.875,0.428,0,2,0.732,0,2,0.4396063129636718,0,2.0580036427276363,0.764359688526634,0,1.9883472890731777,rapid
2.8333333333333335,0.458,0,2,0.757,0,2,0.4311055235105788,0,1.9858250582789572,0.7635566130911633,0,1.991758320432054,rapid
2.7916666666666665,0.428,0,2,0.779,0,2,0.42244904583055476,0,1.9144064329416586,0.7627718166480812,0,1.9950506010618687,rapid
2.75,0.422,0,2,0.823,0,2,0.4137024806542076,0,1.8446759593534,0.7620072961902995,0,1.998220084283289,rapid
2.7083333333333335,0.413,0,2,0.756,0,2,0.40488369432219284,0,1.7768603108551577,0.7612650487107294,0,2.0012627234169793,rapid
2.6666666666666665,0.39,0,2,0.763,0,2,0.39601055317516703,0,1.7111861607879113,0.7605470712022823,0,2.0041744717836067,rapid
2.625,0.373,0,2,0.761,0,2,0.38710092355378634,0,1.6478801824926403,0.7598553606578696,0,2.0069512827038363,rapid
2.5833333333333335,0.407,0,2,0.775,0,2,0.3780922959039364,0,1.5863077838312338,0.7591906787791755,0,2.009587225411402,rapid
2.5416666666666665,0.389,0,2,0.743,0,2,0.36895134449548295,0,1.5260924663669537,0.758550816328512,0,2.012082503375068,rapid
2.5,0.365,0,1,0.753,0,2,0.35973971140505306,0,1.4678480439928414,0.7579333138897325,0,2.014442271268052,rapid
2.4583333333333335,0.376,0,2,0.769,0,2,0.35051903870927315,0,1.4121883306019356,0.7573357120466903,0,2.016671683763566,rapid
2.416666666666667,0.329,0,1,0.761,0,2,0.34135096848476987,0,1.3597271400872764,0.7567555513832385,0,2.0187758955348247,rapid
2.375,0.337,0,1,0.75,0,2,0.332003987181885,0,1.3065263481001264,0.7561903724832306,0,2.020760061255043,rapid
2.3333333333333335,0.354,0,1.0499999999999545,0.776,0,2,0.32237724994136585,0,1.2512599343784254,0.7556377159305201,0,2.022629335597435,rapid
2.291666666666667,0.302,0,1,0.739,0,2,0.31272840187544687,0,1.1984598689452248,0.75509512230896,0,2.0243888732352158,rapid
2.25,0.28,0,1,0.752,0,2,0.3033150880963624,0,1.1526581218235765,0.7545601322024039,0,2.026043828841599,rapid
2.2083333333333335,0.273,0,1,0.736,0,2,0.2937171435440858,0,1.1099480308229694,0.7540394946847915,0,2.0275340555631356,rapid
2.166666666666667,0.284,0,1,0.727,0,2,0.28359935199681324,0,1.0657288587940683,0.7535400929589972,0,2.0288148946161737,rapid
